Key,English,Simplified_Chinese
PROPCTRL_TXT_000434,St Morning Rock 4,晨光岩石 4
PROPCTRL_TXT_000435,St Morning Rock 5,晨光岩石 5
PROPCTRL_TXT_000436,St Morning Rock 6,晨光岩石 6
PROPCTRL_TXT_000437,St Morning Rock 7,晨光岩石 7
PROPCTRL_TXT_000438,St Morning Rock 8,晨光岩石 8
PROPCTRL_TXT_000439,St Morning Rock 9,晨光岩石 9
PROPCTRL_TXT_000440,St Morning Rock 10,晨光岩石 10
PROPCTRL_TXT_000441,St Morning Rock 11,晨光岩石 11
PROPCTRL_TXT_000442,St Morning Rock 12,晨光岩石 12
PROPCTRL_TXT_000443,St Morning Rock 13,晨光岩石 13
PROPCTRL_TXT_000444,St Morning Rock 14,晨光岩石 14
PROPCTRL_TXT_000445,St Morning Rock 15,晨光岩石 15
PROPCTRL_TXT_000446,St Morning Light 2,晨光路灯 2
PROPCTRL_TXT_000447,Darkon Wagon 2,达肯矿车 2
PROPCTRL_TXT_000448,Darkon Wagon 3,达肯矿车 3
PROPCTRL_TXT_000449,Darkon Wagon 4,达肯矿车 4
PROPCTRL_TXT_000450,Darkon Wagon 5,达肯矿车 5
PROPCTRL_TXT_000451,Darkon Sign 2,达肯立牌 2
PROPCTRL_TXT_000452,Darkon Sign 3,达肯立牌 3
PROPCTRL_TXT_000453,Darkon Sign 4,达肯立牌 4
PROPCTRL_TXT_000454,Darkon Sign 5,达肯立牌 5
PROPCTRL_TXT_000455,Darkon Sign 6,达肯立牌 6
PROPCTRL_TXT_000456,Darkon Sign 7,达肯立牌 7
PROPCTRL_TXT_000457,Darkon Big Box 2,达肯货箱 2
PROPCTRL_TXT_000458,Darkon Big Box 3,达肯货箱 3
PROPCTRL_TXT_000459,Darkon Big Box 4,达肯货箱 4
PROPCTRL_TXT_000460,Darkon Big Box 5,达肯货箱 5
PROPCTRL_TXT_000461,Darkon Brown Rock 2,达肯岩石 2
PROPCTRL_TXT_000462,Darkon Brown Rock 3,达肯岩石 3
PROPCTRL_TXT_000463,Darkon Brown Rock 4,达肯岩石 4
PROPCTRL_TXT_000464,Darkon Brown Rock 5,达肯岩石 5
PROPCTRL_TXT_000465,Darkon Brown Rock 6,达肯岩石 6
PROPCTRL_TXT_000466,Darkon Brown Rock 7,达肯岩石 7
PROPCTRL_TXT_000467,Darkon Barrel 2,达肯油桶 2
PROPCTRL_TXT_000468,Darkon Light 2,达肯灯具(探照灯) 2
PROPCTRL_TXT_000469,Darkon Light 3,达肯灯具(路灯) 3
PROPCTRL_TXT_000470,Darkon Light 4,达肯灯具(路灯) 4
PROPCTRL_TXT_000471,Darkon Light 5,达肯灯具(信号灯) 5
PROPCTRL_TXT_000472,Darkon Light 6,达肯灯具(信号灯) 6
PROPCTRL_TXT_000473,Darkon Mushroom 2,达肯蘑菇 2
PROPCTRL_TXT_000474,Darkon Mushroom 3,达肯蘑菇 3
PROPCTRL_TXT_000475,Darkon Mushroom 4,达肯蘑菇 4
PROPCTRL_TXT_000476,Darkon Mushroom 5,达肯蘑菇 5
PROPCTRL_TXT_000477,Darkon Tree 2,达肯树木 2
PROPCTRL_TXT_000478,Darkon Tree 3,达肯树木 3
PROPCTRL_TXT_000479,Darkon Tree 4,达肯树木 4
PROPCTRL_TXT_000480,Darkon Tree 5,达肯树木 5
PROPCTRL_TXT_000481,Darkon Tree 6,达肯树木 6
PROPCTRL_TXT_000482,Darkon Tree 7,达肯树木 7
PROPCTRL_TXT_000483,Darkon Tree 8,达肯树木 8
PROPCTRL_TXT_000484,Darkon Tree 9,达肯树木 9
PROPCTRL_TXT_000485,Azria Plant 2,雪地植物 2
PROPCTRL_TXT_000486,Azria Plant 3,雪地植物 3
PROPCTRL_TXT_000487,Azria Plant 4,雪地植物 4
PROPCTRL_TXT_000488,Azria Plant 5,雪地植物 5
PROPCTRL_TXT_000489,Azria Tree 2,雪地树木 2
PROPCTRL_TXT_000490,Azria Tree 3,雪地树木 3
PROPCTRL_TXT_000491,Azria Tree 4,雪地树木 4
PROPCTRL_TXT_000492,Azria Tree 5,雪地树木 5
PROPCTRL_TXT_000493,Azria Tree 6,雪地树木 6
PROPCTRL_TXT_000494,Azria Tree 7,雪地树木 7
PROPCTRL_TXT_000495,Azria Tree 8,雪地树木 8
PROPCTRL_TXT_000496,Azria Tree 9,雪地树木 9
PROPCTRL_TXT_000497,Azria Tree 10,雪地树木 10
PROPCTRL_TXT_000498,Azria Tree 11,雪地树木 11
PROPCTRL_TXT_000499,Azria Tree 12,雪地树木 12
PROPCTRL_TXT_000500,Azria Tree 13,雪地树木 13
PROPCTRL_TXT_000501,Azria Tree 14,雪地树木 14
PROPCTRL_TXT_000502,Azria Tree 15,雪地树木 15
PROPCTRL_TXT_000503,Azria Tree 16,雪地树木 16
PROPCTRL_TXT_000504,Azria Tree 17,雪地树木 17
PROPCTRL_TXT_000505,Azria Tree 18,雪地树木 18
PROPCTRL_TXT_000506,Azria Tree 19,雪地树木 19
PROPCTRL_TXT_000507,Azria Tree 20,雪地树木 20
PROPCTRL_TXT_000508,Azria Tree 21,雪地树木 21
PROPCTRL_TXT_000509,Azria Light 2,雪地路灯 2
PROPCTRL_TXT_000510,Azria Light 3,雪地路灯 3
PROPCTRL_TXT_000511,Azria Rock 2,雪地岩石 2
PROPCTRL_TXT_000512,Azria Rock 3,雪地岩石 3
PROPCTRL_TXT_000513,Azria Rock 4,雪地岩石 4
PROPCTRL_TXT_000514,Azria Rock 5,雪地岩石 5
PROPCTRL_TXT_000515,Azria Rock 6,雪地岩石 6
PROPCTRL_TXT_000516,Azria Rock 7,雪地岩石 7
PROPCTRL_TXT_000517,Azria Rock 8,雪地岩石 8
PROPCTRL_TXT_000518,Azria Rock 9,雪地岩石 9
PROPCTRL_TXT_000519,Azria Rock 10,雪地岩石 10
PROPCTRL_TXT_000520,Azria Rock 11,雪地岩石 11
PROPCTRL_TXT_000521,Azria Rock 12,雪地岩石 12
PROPCTRL_TXT_000522,Azria Rock 13,雪地岩石 13
PROPCTRL_TXT_000523,Azria Mushroom 2,雪地蘑菇 2
PROPCTRL_TXT_000524,Azria Mushroom 3,雪地蘑菇 3
PROPCTRL_TXT_000525,Azria Mushroom 4,雪地蘑菇 4
PROPCTRL_TXT_000526,Azria Grass 2,雪地草丛 2
PROPCTRL_TXT_000527,Azria Grass 3,雪地草丛 3
PROPCTRL_TXT_000528,Azria Sign 2,雪地指示牌 2
PROPCTRL_TXT_000529,Azria Sign 3,雪地指示牌 3
PROPCTRL_TXT_000530,Azria Sign 4,雪地指示牌 4
PROPCTRL_TXT_000531,Azria Box 2,雪地箱子 2
PROPCTRL_TXT_000532,Coral Island Tree 2,沙滩树木 2
PROPCTRL_TXT_000533,Coral Island Shellfish 2,贝类 2
PROPCTRL_TXT_000534,Coral Island Shellfish 3,贝类 3
PROPCTRL_TXT_000535,Coral Island Shellfish 4,贝类 4
PROPCTRL_TXT_000536,Coral Island Shellfish 5,贝类 5
PROPCTRL_TXT_000537,Coral Island Shellfish 6,贝类 6
PROPCTRL_TXT_000538,Coral Island Shellfish 7,贝类 7
PROPCTRL_TXT_000539,Coral Island Shellfish 8,贝类 8
PROPCTRL_TXT_000540,Coral Island Shellfish 9,贝类 9
PROPCTRL_TXT_000541,Coral Island Coral 2,珊瑚 2
PROPCTRL_TXT_000542,Coral Island Coral 3,珊瑚 3
PROPCTRL_TXT_000543,Coral Island Coral 4,珊瑚 4
PROPCTRL_TXT_000544,Coral Island Coral 5,珊瑚 5
PROPCTRL_TXT_000545,Coral Island Coral 6,珊瑚 6
PROPCTRL_TXT_000546,Coral Island Coral 7,珊瑚 7
PROPCTRL_TXT_000547,Coral Island Coral 8,珊瑚 8
PROPCTRL_TXT_000548,Coral Island Coral 9,珊瑚 9
PROPCTRL_TXT_000549,Coral Island Coral 10,珊瑚 10
PROPCTRL_TXT_000550,Coral Island Coral 11,珊瑚 11
PROPCTRL_TXT_000551,Coral Island Coral 12,珊瑚 12
PROPCTRL_TXT_000552,Coral Island Starfish 2,海星 2
PROPCTRL_TXT_000553,Coral Island Starfish 3,海星 3
PROPCTRL_TXT_000554,Coral Island Table 2,珊瑚岛桌子 2
PROPCTRL_TXT_000555,Flaris Pot 2,帕里陶罐 2
PROPCTRL_TXT_000556,Flaris Fence 2,帕里篱笆 2
PROPCTRL_TXT_000557,Flaris Fence 3,帕里篱笆 3
PROPCTRL_TXT_000558,Flaris Fence 4,帕里篱笆 4
PROPCTRL_TXT_000559,Flaris Fence 5,帕里篱笆 5
PROPCTRL_TXT_000560,Flaris Fence 6,帕里篱笆 6
PROPCTRL_TXT_000561,1st Anniversary Flaris Cake,1 周年庆帕里蛋糕
PROPCTRL_TXT_000562,1st Anniversary Saint Morning Cake,1 周年庆晨光蛋糕
PROPCTRL_TXT_000563,1st Anniversary Darkon Cake,1 周年庆达肯蛋糕
PROPCTRL_TXT_000564,2nd Anniversary Flaris Cake,2 周年庆帕里蛋糕
PROPCTRL_TXT_000565,2nd Anniversary Saint Morning Cake,2 周年庆晨光蛋糕
PROPCTRL_TXT_000566,2nd Anniversary Darkon Cake,2 周年庆达肯蛋糕
PROPCTRL_TXT_000567,2nd Anniversary Presents 1,2 周年庆礼物1
PROPCTRL_TXT_000568,2nd Anniversary Presents 2,2 周年庆礼物2
PROPCTRL_TXT_000569,2nd Anniversary Arch 1,2 周年庆拱门1
PROPCTRL_TXT_000570,Luxury Chandelier,豪华吊灯
PROPCTRL_TXT_000571,Luxury Table,豪华桌
PROPCTRL_TXT_000572,Luxury Dressing Table,豪华梳妆台
PROPCTRL_TXT_000573,Luxury Wardrobe,豪华衣柜
PROPCTRL_TXT_000574,Luxury Bookcase,豪华书柜
PROPCTRL_TXT_000575,Luxury Sofa,豪华沙发
PROPCTRL_TXT_000576,Luxury Armchair,豪华扶手椅
PROPCTRL_TXT_000577,Luxury Chair,豪华椅
PROPCTRL_TXT_000578,Luxury Bed,豪华床
PROPCTRL_TXT_000579,Ordinary Herb,低级草药
PROPCTRL_TXT_000580,Regular Herb,普通草药
PROPCTRL_TXT_000581,Unique Herb,稀有草药
PROPCTRL_TXT_000582,Rare Herb,珍稀草药
PROPCTRL_TXT_000583,Legendary Herb,传说草药
PROPCTRL_TXT_000584,Ordinary Tree,低级树木
PROPCTRL_TXT_000585,Regular Tree,普通树木
PROPCTRL_TXT_000586,Unique Tree,稀有树木
PROPCTRL_TXT_000587,Rare Tree,珍稀树木
PROPCTRL_TXT_000588,Legendary Tree,传说树木
PROPCTRL_TXT_000589,Ordinary Rock,低级岩石
PROPCTRL_TXT_000590,Regular Rock,普通岩石
PROPCTRL_TXT_000591,Unique Rock,稀有岩石
PROPCTRL_TXT_000592,Rare Rock,珍稀岩石
PROPCTRL_TXT_000593,Legendary Rock,传说岩石
PROPCTRL_TXT_000594,Alchemy Desk,炼金桌
PROPCTRL_TXT_000595,Hearth,火炉
PROPCTRL_TXT_000596,Carpentry Workspace,木匠台
PROPCTRL_TXT_000597,Smithing Workspace,锻造台
PROPCTRL_TXT_000598,Halloween Pumpkin,万圣南瓜
PROPCTRL_TXT_000599,Message Sign,留言板
PROPCTRL_TXT_000600,Medieval Bed,中世纪床
PROPCTRL_TXT_000601,Medieval Sofa,中世纪沙发
PROPCTRL_TXT_000602,Medieval Armchair,中世纪扶手椅
PROPCTRL_TXT_000603,Medieval Bookcase,中世纪书柜
PROPCTRL_TXT_000604,Medieval Wardrobe,中世纪衣柜
PROPCTRL_TXT_000605,Medieval Table,中世纪桌
PROPCTRL_TXT_000606,Medieval Chair,中世纪椅
PROPCTRL_TXT_000607,Medieval Floor Lamp,中世纪落地灯
PROPCTRL_TXT_000608,Medieval Drawer,中世纪抽屉柜
PROPCTRL_TXT_000609,Halloween 2024 Bed,2024 万圣节床
PROPCTRL_TXT_000610,Halloween 2024 Sofa,2024 万圣节沙发
PROPCTRL_TXT_000611,Halloween 2024 Armchair,2024 万圣节扶手椅
PROPCTRL_TXT_000612,Halloween 2024 Bookcase,2024 万圣节书柜
PROPCTRL_TXT_000613,Halloween 2024 Wardrobe,2024 万圣节衣柜
PROPCTRL_TXT_000614,Halloween 2024 Table,2024 万圣节桌
PROPCTRL_TXT_000615,Halloween 2024 Chair,2024 万圣节椅
PROPCTRL_TXT_000616,Halloween 2024 Lantern,2024 万圣节灯笼
PROPCTRL_TXT_000617,Halloween 2024 Drawer,2024 万圣节抽屉柜
PROPCTRL_TXT_000618,Flaris House 1,帕里小屋 1
PROPCTRL_TXT_000619,Flaris House 2,帕里小屋 2
PROPCTRL_TXT_000620,Flaris House 3,帕里小屋 3
PROPCTRL_TXT_000621,Flaris House 4,帕里小屋 4
PROPCTRL_TXT_000622,Flaris House 5,帕里小屋 5
PROPCTRL_TXT_000623,Flaris House 6,帕里小屋 6
PROPCTRL_TXT_000624,Flaris House 7,帕里小屋 7
PROPCTRL_TXT_000625,Flaris House 8,帕里小屋 8
PROPCTRL_TXT_000626,Flaris House 9,帕里小屋 9
PROPCTRL_TXT_000627,Flaris House 10,帕里小屋 10
PROPCTRL_TXT_000628,Saint Morning House 1,晨光小屋 1
PROPCTRL_TXT_000629,Saint Morning House 2,晨光小屋 2
PROPCTRL_TXT_000630,Saint Morning House 3,晨光小屋 3
PROPCTRL_TXT_000631,Saint Morning House 4,晨光小屋 4
PROPCTRL_TXT_000632,Saint Morning House 5,晨光小屋 5
PROPCTRL_TXT_000633,Saint Morning House 6,晨光小屋 6
PROPCTRL_TXT_000634,Saint Morning House 7,晨光小屋 7
PROPCTRL_TXT_000635,Saint Morning House 8,晨光小屋 8
PROPCTRL_TXT_000636,Saint Morning House 9,晨光小屋 9
PROPCTRL_TXT_000637,Saint Morning House 10,晨光小屋 10
PROPCTRL_TXT_000638,Saint Morning House 11,晨光小屋 11
PROPCTRL_TXT_000639,Pumpkin Town House 1,南瓜镇小屋 1
PROPCTRL_TXT_000640,Pumpkin Town House 2,南瓜镇小屋 2
PROPCTRL_TXT_000641,Pumpkin Town House 3,南瓜镇小屋 3
PROPCTRL_TXT_000642,Darkon House 1,达肯小屋 1
PROPCTRL_TXT_000643,Darkon House 2,达肯小屋 2
PROPCTRL_TXT_000644,Darkon House 3,达肯小屋 3
PROPCTRL_TXT_000645,Darkon House 4,达肯小屋 4
PROPCTRL_TXT_000646,Darkon House 5,达肯小屋 5
PROPCTRL_TXT_000647,Azria House 1,雪地小屋 1
PROPCTRL_TXT_000648,Azria House 2,雪地小屋 2
PROPCTRL_TXT_000649,Azria House 3,雪地小屋 3
PROPCTRL_TXT_000650,Azria House 4,雪地小屋 4
PROPCTRL_TXT_000651,Flaris Street Lamp,帕里路灯
PROPCTRL_TXT_000652,Flaris Tent 1,帕里帐篷 1
PROPCTRL_TXT_000653,Madrigal Floating Sign 1,瑞加大陆浮空指示牌 1
PROPCTRL_TXT_000654,Madrigal Floating Sign 2,瑞加大陆浮空指示牌 2
PROPCTRL_TXT_000655,Madrigal No-fly Sign,瑞加大陆禁飞标志
PROPCTRL_TXT_000656,Madrigal Floating Ring,瑞加大陆浮空环
PROPCTRL_TXT_000657,Flaris Box and cover,帕里箱子及盖子
PROPCTRL_TXT_000658,Magic Crystal Object,魔法水晶体
PROPCTRL_TXT_000659,Flaris Tent 2,帕里帐篷 2
PROPCTRL_TXT_000662,Flaris Carriage,帕里马车
PROPCTRL_TXT_000663,Flaris Torch,帕里火把
PROPCTRL_TXT_000664,Flaris Floating Island,帕里浮空岛
PROPCTRL_TXT_000665,Saint Morning Lighthouse,晨光灯塔
PROPCTRL_TXT_000666,Saint Morning Crane,晨光起重机
PROPCTRL_TXT_000667,Saint Morning Campfire,晨光篝火
PROPCTRL_TXT_000668,Saint Morning Palm Tree,晨光棕榈树
PROPCTRL_TXT_000669,Saint Morning Pumpkin Fence,晨光南瓜篱笆
PROPCTRL_TXT_000670,Saint Morning Scarecrow,晨光稻草人
PROPCTRL_TXT_000672,Saint Morning Cactus 1,晨光仙人掌 1
PROPCTRL_TXT_000673,Saint Morning Cactus 2,晨光仙人掌 2
PROPCTRL_TXT_000674,Saint Morning Cactus 3,晨光仙人掌 3
PROPCTRL_TXT_000675,Rhisis Stone Pillar 1,莱斯石柱 1
PROPCTRL_TXT_000676,Rhisis Stone Pillar 2,莱斯石柱 2
PROPCTRL_TXT_000677,Rhisis Broken Temple,莱斯残破神庙
PROPCTRL_TXT_000678,Darkon Steel Frame 1,达肯钢架 1
PROPCTRL_TXT_000679,Darkon Steel Frame 2,达肯钢架 2
PROPCTRL_TXT_000680,Darkon Structure,达肯建筑
PROPCTRL_TXT_000681,Darkon Water Tank,达肯水箱
PROPCTRL_TXT_000682,Darkon Large crane,达肯大型起重机
PROPCTRL_TXT_000683,Darkon Dirt pile,达肯土堆
PROPCTRL_TXT_000684,Darkon Shack,达肯棚屋
PROPCTRL_TXT_000685,Darkon Market,达肯集市
PROPCTRL_TXT_000686,Darkon Tree Bark,达肯树皮
PROPCTRL_TXT_000687,Darkon Fossil,达肯化石
PROPCTRL_TXT_000688,Darkon Large Fossil,达肯大型化石
PROPCTRL_TXT_000689,Guardiane Structure,堕落圣域建筑
PROPCTRL_TXT_000690,Guardiane Platform,堕落圣域平台
PROPCTRL_TXT_000691,Azria Ground Window,雪地指示灯
PROPCTRL_TXT_000692,Azria Large Crane,雪地大型起重机
PROPCTRL_TXT_000693,Azria Water Tank,雪地水箱
PROPCTRL_TXT_000694,Azria Arch,雪地石拱
PROPCTRL_TXT_000695,Azria Stone Pile,雪地石堆
PROPCTRL_TXT_000696,Azria Stone Pillar,雪地石柱
PROPCTRL_TXT_000697,Azria Stone Tower,雪地石塔
PROPCTRL_TXT_000698,Coral Island Wrecked Ship Part,珊瑚岛沉船残骸
PROPCTRL_TXT_000699,Coral Island Wrecked Ship,珊瑚岛沉船
PROPCTRL_TXT_000700,Coral Island Sea Weed 1,珊瑚岛海藻 1
PROPCTRL_TXT_000701,Coral Island Sea Weed 2,珊瑚岛海藻 2
PROPCTRL_TXT_000702,Coral Island Sea Weed 3,珊瑚岛海藻 3
PROPCTRL_TXT_000703,Coral Island Coral Platform,珊瑚岛珊瑚平台
PROPCTRL_TXT_000704,Coral Island Coral 13,珊瑚 13
PROPCTRL_TXT_000705,Coral Island Coral 14,珊瑚 14
PROPCTRL_TXT_000706,Coral Island Coral 15,珊瑚 15
PROPCTRL_TXT_000707,Coral Island Coral 16,珊瑚 16
PROPCTRL_TXT_000708,Coral Island Campfire,珊瑚岛篝火
PROPCTRL_TXT_000709,Saint Morning Wall Pillar,晨光墙壁柱
PROPCTRL_TXT_000710,Neon Valentines Black Lamp,霓虹情人节黑色灯
PROPCTRL_TXT_000711,Neon Valentines Black Desk,霓虹情人节黑色桌
PROPCTRL_TXT_000712,Neon Valentines Black Drawer,霓虹情人节黑色抽屉柜
PROPCTRL_TXT_000713,Neon Valentines Black Dresser,霓虹情人节黑色梳妆柜
PROPCTRL_TXT_000714,Neon Valentines Black Bookshelf,霓虹情人节黑色书架
PROPCTRL_TXT_000715,Neon Valentines Black Chair,霓虹情人节黑色椅
PROPCTRL_TXT_000716,Neon Valentines Black Bath,霓虹情人节黑色浴缸
PROPCTRL_TXT_000717,Neon Valentines Black Bed,霓虹情人节黑色床
PROPCTRL_TXT_000718,Neon Valentines Black Sofa,霓虹情人节黑色沙发
PROPCTRL_TXT_000719,Neon Valentines White Lamp,霓虹情人节白色灯
PROPCTRL_TXT_000720,Neon Valentines White Desk,霓虹情人节白色桌
PROPCTRL_TXT_000721,Neon Valentines White Drawer,霓虹情人节白色抽屉柜
PROPCTRL_TXT_000722,Neon Valentines White Dresser,霓虹情人节白色梳妆柜
PROPCTRL_TXT_000723,Neon Valentines White Bookshelf,霓虹情人节白色书架
PROPCTRL_TXT_000724,Neon Valentines White Chair,霓虹情人节白色椅
PROPCTRL_TXT_000725,Neon Valentines White Bath,霓虹情人节白色浴缸
PROPCTRL_TXT_000726,Neon Valentines White Bed,霓虹情人节白色床
PROPCTRL_TXT_000727,Neon Valentines White Sofa,霓虹情人节白色沙发
PROPCTRL_TXT_000728,Pastel Bed,粉彩床
PROPCTRL_TXT_000729,Pastel Sofa,粉彩沙发
PROPCTRL_TXT_000730,Pastel Stool,粉彩凳子
PROPCTRL_TXT_000731,Pastel Bookshelf,粉彩书架
PROPCTRL_TXT_000732,Pastel Lamp,粉彩灯
PROPCTRL_TXT_000733,Pastel Desk,粉彩桌
PROPCTRL_TXT_000734,Pastel Chair,粉彩椅
PROPCTRL_TXT_000735,Pastel Nightstand,粉彩床头柜
PROPCTRL_TXT_000736,Pastel Bathtub,粉彩浴缸
PROPCTRL_TXT_000737,[Event] Chroma Ore,[活动] 绚丽矿石
PROPCTRL_TXT_000738,Statue Base,雕像基座
PROPCTRL_TXT_000739,3rd Anniversary Flaris Cake,3 周年庆帕里蛋糕
PROPCTRL_TXT_000740,3rd Anniversary Saint Morning Cake,3 周年庆晨光蛋糕
PROPCTRL_TXT_000741,3rd Anniversary Darkon Cake,3 周年庆达肯蛋糕
PROPCTRL_TXT_000742,Dungeon Warp 07,副本传送 07
PROPCTRL_TXT_000743,First Aid Kit,急救包
